system:index,air_temp,elevation,lat,lng,lst,lulc,year,.geo
13,25.21100054004961,78,25.436045091025868,83.10095561261048,22.778716730000042,1,1996,"{""type"":""Point"",""coordinates"":[83.10095561261048,25.436045091025868]}"
14,25.227776456859203,61,25.395520270238766,83.1806026713058,22.39760750000005,3,1996,"{""type"":""Point"",""coordinates"":[83.1806026713058,25.395520270238766]}"
15,25.18187356016938,78,25.51392366913034,82.97724016278329,21.68836835000002,1,1996,"{""type"":""Point"",""coordinates"":[82.97724016278329,25.51392366913034]}"
16,25.162025930674645,80,25.504656480898436,82.87141687327981,22.70864732000001,3,1996,"{""type"":""Point"",""coordinates"":[82.87141687327981,25.504656480898436]}"
17,25.190340000309334,73,25.495110260641784,83.1126077989586,20.56213076000006,0,1996,"{""type"":""Point"",""coordinates"":[83.1126077989586,25.495110260641784]}"
18,25.20732103983562,85,25.330563776735644,82.712255105014,23.58024241999999,2,1996,"{""type"":""Point"",""coordinates"":[82.712255105014,25.330563776735644]}"
19,25.258976513936602,83,25.31557244899353,83.04058969969772,20.473262240000054,2,1996,"{""type"":""Point"",""coordinates"":[83.04058969969772,25.31557244899353]}"
20,25.19965547012947,80,25.385783043942908,83.02761685688681,19.073583050000025,1,1996,"{""type"":""Point"",""coordinates"":[83.02761685688681,25.385783043942908]}"
21,25.21100054004961,79,25.352839127244646,83.10118706524862,27.620342059999984,1,1996,"{""type"":""Point"",""coordinates"":[83.10118706524862,25.352839127244646]}"
22,25.1715757309031,82,25.372490982813318,82.90231921885619,26.10615919999998,1,1996,"{""type"":""Point"",""coordinates"":[82.90231921885619,25.372490982813318]}"
23,25.162025930674645,82,25.47265237289101,82.86712112444994,22.165182140000013,1,1996,"{""type"":""Point"",""coordinates"":[82.86712112444994,25.47265237289101]}"
24,25.258976513936602,82,25.308940038928725,82.99066916683995,19.43418416000003,3,1996,"{""type"":""Point"",""coordinates"":[82.99066916683995,25.308940038928725]}"
25,25.1715757309031,81,25.4297198157325,82.92414950492862,21.910539650000032,1,1996,"{""type"":""Point"",""coordinates"":[82.92414950492862,25.4297198157325]}"
26,25.435389631088242,81,25.232151226012206,82.83923502240619,25.234564100000057,2,1996,"{""type"":""Point"",""coordinates"":[82.83923502240619,25.232151226012206]}"
27,25.258976513936602,60,25.271692111218375,83.0200446497387,23.26920260000003,0,1996,"{""type"":""Point"",""coordinates"":[83.0200446497387,25.271692111218375]}"
28,25.21100054004961,83,25.40678020482026,83.05561268082243,21.698622409999984,3,1996,"{""type"":""Point"",""coordinates"":[83.05561268082243,25.40678020482026]}"
29,25.24328663272945,81,25.3473424538594,82.9114643561801,26.50948556000003,1,1996,"{""type"":""Point"",""coordinates"":[82.9114643561801,25.3473424538594]}"
30,25.162025930674645,86,25.455481621698958,82.90498955726848,21.103886930000044,1,1996,"{""type"":""Point"",""coordinates"":[82.90498955726848,25.455481621698958]}"
31,25.24328663272945,86,25.273312702630772,82.86236252497223,23.54948023999998,2,1996,"{""type"":""Point"",""coordinates"":[82.86236252497223,25.273312702630772]}"
32,25.22233446199607,85,25.337479809136116,82.79201547968162,25.634472440000025,1,1996,"{""type"":""Point"",""coordinates"":[82.79201547968162,25.337479809136116]}"
33,25.179118895857357,78,25.552934944126754,83.03180276639092,21.778945880000038,1,1996,"{""type"":""Point"",""coordinates"":[83.03180276639092,25.552934944126754]}"
