system:index,air_temp,elevation,lat,lng,lst,lulc,year,.geo
0,18.357977940275646,76,25.502582097401827,83.01510630965174,25.27899836000006,1,2010,"{""type"":""Point"",""coordinates"":[83.01510630965174,25.502582097401827]}"
1,18.43226931992399,72,25.432947660864354,83.1343988690842,28.092028819999996,1,2010,"{""type"":""Point"",""coordinates"":[83.1343988690842,25.432947660864354]}"
2,18.438806863326874,73,25.38295554654739,83.16895870102628,27.466531160000045,3,2010,"{""type"":""Point"",""coordinates"":[83.16895870102628,25.38295554654739]}"
3,18.43226931992399,75,25.435554903919826,83.1182227339966,25.976274439999997,1,2010,"{""type"":""Point"",""coordinates"":[83.1182227339966,25.435554903919826]}"
4,18.54893353643388,72,25.340217905432784,83.08469287645653,29.531015239999988,2,2010,"{""type"":""Point"",""coordinates"":[83.08469287645653,25.340217905432784]}"
5,18.53539642005842,75,25.32189608367984,83.02882326963658,24.072437300000047,0,2010,"{""type"":""Point"",""coordinates"":[83.02882326963658,25.32189608367984]}"
6,18.41748699885551,80,25.373964646557265,82.95695345208706,23.340981020000015,2,2010,"{""type"":""Point"",""coordinates"":[82.95695345208706,25.373964646557265]}"
7,18.53539642005842,79,25.328956213213775,83.00092020547844,23.13931783999999,0,2010,"{""type"":""Point"",""coordinates"":[83.00092020547844,25.328956213213775]}"
8,18.478559782513628,84,25.329546432674487,82.77902188553333,23.183752099999992,1,2010,"{""type"":""Point"",""coordinates"":[82.77902188553333,25.329546432674487]}"
9,18.357977940275646,79,25.504494206052325,83.03923249210254,25.49433362000002,3,2010,"{""type"":""Point"",""coordinates"":[83.03923249210254,25.504494206052325]}"
10,18.357977940275646,78,25.466445162836823,83.0059593976177,23.043613280000045,3,2010,"{""type"":""Point"",""coordinates"":[83.0059593976177,25.466445162836823]}"
11,18.379378309899437,78,25.359529223244238,82.90095002029355,25.337104700000054,1,2010,"{""type"":""Point"",""coordinates"":[82.90095002029355,25.359529223244238]}"
12,18.41748699885551,79,25.42423767631261,82.98299986033852,23.39908736000001,3,2010,"{""type"":""Point"",""coordinates"":[82.98299986033852,25.42423767631261]}"
13,18.43226931992399,78,25.436045091025868,83.10095561261048,24.513361880000048,3,2010,"{""type"":""Point"",""coordinates"":[83.10095561261048,25.436045091025868]}"
14,18.438806863326874,61,25.395520270238766,83.1806026713058,24.90643418000002,2,2010,"{""type"":""Point"",""coordinates"":[83.1806026713058,25.395520270238766]}"
15,18.357977940275646,78,25.51392366913034,82.97724016278329,26.793181220000008,2,2010,"{""type"":""Point"",""coordinates"":[82.97724016278329,25.51392366913034]}"
16,18.341232868590964,80,25.504656480890667,82.87141687327917,25.220892020000008,2,2010,"{""type"":""Point"",""coordinates"":[82.87141687327917,25.504656480890667]}"
17,18.370048462789157,73,25.495110260615625,83.11260779892476,20.958621080000057,0,2010,"{""type"":""Point"",""coordinates"":[83.11260779892476,25.495110260615625]}"
18,18.482277895472805,85,25.33056377674204,82.71225510500727,25.309760540000013,2,2010,"{""type"":""Point"",""coordinates"":[82.71225510500727,25.33056377674204]}"
19,18.53539642005842,83,25.315572449070157,83.04058969958956,26.779509140000016,2,2010,"{""type"":""Point"",""coordinates"":[83.04058969958956,25.315572449070157]}"
20,18.41748699885551,80,25.385783043942908,83.02761685688681,23.446939639999982,1,2010,"{""type"":""Point"",""coordinates"":[83.02761685688681,25.385783043942908]}"
21,18.43226931992399,79,25.352839127244078,83.10118706525174,25.690869770000006,3,2010,"{""type"":""Point"",""coordinates"":[83.10118706525174,25.352839127244078]}"
22,18.379378309899437,82,25.372490982813673,82.90231921885233,23.67594698000005,3,2010,"{""type"":""Point"",""coordinates"":[82.90231921885233,25.372490982813673]}"
23,18.341232868590964,82,25.472652372890458,82.86712112444815,23.057285360000037,3,2010,"{""type"":""Point"",""coordinates"":[82.86712112444815,25.472652372890458]}"
24,18.53539642005842,82,25.30894003892797,82.99066916683968,23.392251320000014,0,2010,"{""type"":""Point"",""coordinates"":[82.99066916683968,25.30894003892797]}"
25,18.379378309899437,81,25.429719815732152,82.92414950493318,23.26578458000006,3,2010,"{""type"":""Point"",""coordinates"":[82.92414950493318,25.429719815732152]}"
26,18.696464478414043,81,25.232151225971453,82.83923502244112,24.48772673000002,2,2010,"{""type"":""Point"",""coordinates"":[82.83923502244112,25.232151225971453]}"
27,18.53539642005842,60,25.271692111326452,83.0200446501533,21.45081596,0,2010,"{""type"":""Point"",""coordinates"":[83.0200446501533,25.271692111326452]}"
28,18.43226931992399,83,25.40678020482026,83.05561268082243,22.83853208000005,2,2010,"{""type"":""Point"",""coordinates"":[83.05561268082243,25.40678020482026]}"
29,18.502159167874254,81,25.347342453864087,82.91146435618717,23.272620619999998,3,2010,"{""type"":""Point"",""coordinates"":[82.91146435618717,25.347342453864087]}"
30,18.341232868590964,86,25.45548162170012,82.90498955727479,22.452295820000018,1,2010,"{""type"":""Point"",""coordinates"":[82.90498955727479,25.45548162170012]}"
31,18.502159167874254,86,25.27331270263184,82.86236252495091,22.41469760000001,2,2010,"{""type"":""Point"",""coordinates"":[82.86236252495091,25.27331270263184]}"
32,18.478559782513628,85,25.337479809123856,82.79201547967438,23.703291140000033,1,2010,"{""type"":""Point"",""coordinates"":[82.79201547967438,25.337479809123856]}"
33,18.344398821212224,78,25.552934944055654,83.03180276641915,24.253592360000027,3,2010,"{""type"":""Point"",""coordinates"":[83.03180276641915,25.552934944055654]}"
34,18.379378309899437,83,25.431325933599314,82.92189846394248,24.253592360000027,3,2010,"{""type"":""Point"",""coordinates"":[82.92189846394248,25.431325933599314]}"
35,18.683720162777888,81,25.240526353353566,82.91160828143448,24.15446978,3,2010,"{""type"":""Point"",""coordinates"":[82.91160828143448,25.240526353353566]}"
36,18.43226931992399,73,25.351800709266378,83.13257241966983,25.743849080000018,2,2010,"{""type"":""Point"",""coordinates"":[83.13257241966983,25.351800709266378]}"
37,18.683720162777888,82,25.234736949232076,82.89272263431599,24.250174340000058,2,2010,"{""type"":""Point"",""coordinates"":[82.89272263431599,25.234736949232076]}"
38,18.53539642005842,85,25.26821413735008,83.03042371162199,24.339042860000006,0,2010,"{""type"":""Point"",""coordinates"":[83.03042371162199,25.26821413735008]}"
39,18.357977940275646,78,25.528934810404618,83.0336225752914,24.745787240000027,1,2010,"{""type"":""Point"",""coordinates"":[83.0336225752914,25.528934810404618]}"
40,18.683720162777888,81,25.222229558538807,82.9032635550839,23.89128224000001,2,2010,"{""type"":""Point"",""coordinates"":[82.9032635550839,25.222229558538807]}"
41,18.502159167874254,82,25.29872700154589,82.89773169011954,23.652020839999977,3,2010,"{""type"":""Point"",""coordinates"":[82.89773169011954,25.29872700154589]}"
42,18.696464478414043,79,25.186551794018747,82.8386099714596,24.641537630000016,3,2010,"{""type"":""Point"",""coordinates"":[82.8386099714596,25.186551794018747]}"
43,18.391439206796747,60,25.507912858562328,83.16685394173508,21.488414180000007,0,2010,"{""type"":""Point"",""coordinates"":[83.16685394173508,25.507912858562328]}"
44,18.341232868590964,81,25.521717060437073,82.90294164129955,24.13054364000004,1,2010,"{""type"":""Point"",""coordinates"":[82.90294164129955,25.521717060437073]}"
45,18.438806863326874,77,25.419943084255557,83.17306284872882,26.943574099999978,3,2010,"{""type"":""Point"",""coordinates"":[83.17306284872882,25.419943084255557]}"
46,18.34057745164455,85,25.417832230629806,82.74697745107252,27.645977210000012,1,2010,"{""type"":""Point"",""coordinates"":[82.74697745107252,25.417832230629806]}"
47,18.43226931992399,80,25.352953735748166,83.08294204166515,24.545833070000015,1,2010,"{""type"":""Point"",""coordinates"":[83.08294204166515,25.352953735748166]}"
48,18.41748699885551,77,25.373247606255386,83.03078965578473,26.64791537000002,2,2010,"{""type"":""Point"",""coordinates"":[83.03078965578473,25.373247606255386]}"
49,18.478559782513628,83,25.25053414475309,82.7554314384347,24.88592606000003,2,2010,"{""type"":""Point"",""coordinates"":[82.7554314384347,25.25053414475309]}"
50,18.683720162777888,85,25.227927565263865,82.85334544790526,22.05580550000002,2,2010,"{""type"":""Point"",""coordinates"":[82.85334544790526,25.227927565263865]}"
51,18.43226931992399,74,25.368487163317766,83.13915098284329,30.985382749999985,2,2010,"{""type"":""Point"",""coordinates"":[83.13915098284329,25.368487163317766]}"
52,18.683720162777888,81,25.217221584764204,82.88472560777284,25.571239070000047,2,2010,"{""type"":""Point"",""coordinates"":[82.88472560777284,25.217221584764204]}"
53,18.341232868590964,81,25.515126503196434,82.91234677371219,23.15640794000001,3,2010,"{""type"":""Point"",""coordinates"":[82.91234677371219,25.515126503196434]}"
54,18.34876972594975,82,25.354002699871067,82.77567280591376,24.23992027999998,2,2010,"{""type"":""Point"",""coordinates"":[82.77567280591376,25.354002699871067]}"
55,18.379378309899437,76,25.353195762629753,82.91669512135427,23.795577680000008,2,2010,"{""type"":""Point"",""coordinates"":[82.91669512135427,25.353195762629753]}"
