system:index,air_temp,elevation,lat,lng,lst,lulc,year,.geo
23,18.08536884485619,82,25.47265237289101,82.86712112444994,25.27899836000006,1,2020,"{""type"":""Point"",""coordinates"":[82.86712112444994,25.47265237289101]}"
24,18.24020125413034,82,25.308940038928725,82.99066916683995,24.83294675000002,2,2020,"{""type"":""Point"",""coordinates"":[82.99066916683995,25.308940038928725]}"
25,18.126158705407022,81,25.4297198157325,82.92414950492862,23.17520705000004,1,2020,"{""type"":""Point"",""coordinates"":[82.92414950492862,25.4297198157325]}"
26,18.35549688305059,81,25.232151226012206,82.83923502240619,22.920564560000003,1,2020,"{""type"":""Point"",""coordinates"":[82.83923502240619,25.232151226012206]}"
27,18.24020125413034,60,25.271692111218375,83.0200446497387,20.968875140000023,0,2020,"{""type"":""Point"",""coordinates"":[83.0200446497387,25.271692111218375]}"
28,18.215983204175075,83,25.40678020482026,83.05561268082243,25.94038523000006,2,2020,"{""type"":""Point"",""coordinates"":[83.05561268082243,25.40678020482026]}"
29,18.193378757490507,81,25.3473424538594,82.9114643561801,26.60348111000002,1,2020,"{""type"":""Point"",""coordinates"":[82.9114643561801,25.3473424538594]}"
30,18.08536884485619,86,25.455481621698958,82.90498955726848,24.879090020000035,1,2020,"{""type"":""Point"",""coordinates"":[82.90498955726848,25.455481621698958]}"
31,18.193378757490507,86,25.273312702630772,82.86236252497223,24.79022150000003,1,2020,"{""type"":""Point"",""coordinates"":[82.86236252497223,25.273312702630772]}"
32,18.171636240969463,85,25.337479809136116,82.79201547968162,20.697142550000024,3,2020,"{""type"":""Point"",""coordinates"":[82.79201547968162,25.337479809136116]}"
33,18.066455384394658,78,25.552934944126754,83.03180276639092,25.660107590000052,1,2020,"{""type"":""Point"",""coordinates"":[83.03180276639092,25.552934944126754]}"
34,18.126158705407022,83,25.43132593360137,82.92189846394106,23.262366560000032,1,2020,"{""type"":""Point"",""coordinates"":[82.92189846394106,25.43132593360137]}"
35,18.352536568590438,81,25.240526353350642,82.91160828143802,25.331977670000015,1,2020,"{""type"":""Point"",""coordinates"":[82.91160828143802,25.240526353350642]}"
36,18.215983204175075,73,25.35180070927059,83.13257241967364,25.473825500000032,1,2020,"{""type"":""Point"",""coordinates"":[83.13257241967364,25.35180070927059]}"
37,18.352536568590438,82,25.234736949239274,82.89272263432336,25.54218590000005,1,2020,"{""type"":""Point"",""coordinates"":[82.89272263432336,25.234736949239274]}"
38,18.24020125413034,85,25.268214137218667,83.03042371170915,24.721861100000012,2,2020,"{""type"":""Point"",""coordinates"":[83.03042371170915,25.268214137218667]}"
39,18.11537976555502,78,25.528934810403065,83.03362257530362,26.849578550000047,1,2020,"{""type"":""Point"",""coordinates"":[83.03362257530362,25.528934810403065]}"
40,18.352536568590438,81,25.222229558538807,82.9032635550839,24.110035519999997,2,2020,"{""type"":""Point"",""coordinates"":[82.9032635550839,25.222229558538807]}"
41,18.193378757490507,82,25.298727001516273,82.89773169010121,25.612255310000023,1,2020,"{""type"":""Point"",""coordinates"":[82.89773169010121,25.298727001516273]}"
42,18.35549688305059,79,25.186551794018747,82.8386099714596,24.71673407000003,1,2020,"{""type"":""Point"",""coordinates"":[82.8386099714596,25.186551794018747]}"
43,18.164555287788403,60,25.50791285816629,83.1668539415324,24.250174340000058,0,2020,"{""type"":""Point"",""coordinates"":[83.1668539415324,25.50791285816629]}"
44,18.08536884485619,81,25.521717060437073,82.90294164129955,24.933778340000003,1,2020,"{""type"":""Point"",""coordinates"":[82.90294164129955,25.521717060437073]}"
45,18.23355520378294,77,25.419943084255557,83.17306284872882,28.628657960000055,2,2020,"{""type"":""Point"",""coordinates"":[83.17306284872882,25.419943084255557]}"
46,18.0631730493252,85,25.41783223064015,82.74697745107538,25.91645908999999,1,2020,"{""type"":""Point"",""coordinates"":[82.74697745107538,25.41783223064015]}"
47,18.215983204175075,80,25.352953735719748,83.08294204167463,24.945741409999982,1,2020,"{""type"":""Point"",""coordinates"":[83.08294204167463,25.352953735719748]}"
48,18.18313710202449,77,25.373247606255386,83.03078965578473,24.97137656000001,2,2020,"{""type"":""Point"",""coordinates"":[83.03078965578473,25.373247606255386]}"
49,18.171636240969463,83,25.25053414475309,82.7554314384347,23.93400749,3,2020,"{""type"":""Point"",""coordinates"":[82.7554314384347,25.25053414475309]}"
50,18.352536568590438,85,25.227927565261812,82.85334544783028,22.823150990000045,2,2020,"{""type"":""Point"",""coordinates"":[82.85334544783028,25.227927565261812]}"
